Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
17,1906.000000,18,0,27360,0,14354669.46484784889821615950,9443.861490031479538300104932,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,3387.000000,10,12,3092,1022,1214644.227930321818718630056,6495.423678771774431650428107,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
17,2040.000000,16,0,24320,0,11921568.62745098039215686275,7843.137254901960784313725490,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2119.000000,17,0,25840,0,12194431.33553563001415762152,8022.652194431335535630014158,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2194.000000,18,0,27216,0,12404740.20054694621695533273,8204.193254329990884229717411,1512.0,0.0,1512,1512,0,0,0,10.0.0.3
6,3736.000000,14,14,3380,1142,1210385.438972162740899357602,7494.646680942184154175588865,161.5,262.13266815543176,1094,60,4,24,2,10.0.0.5
17,2306.000000,14,0,21280,0,9228100.607111882046834345186,6071.118820468343451864700781,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2219.000000,14,0,20944,0,9438485.804416403785488958991,6309.148264984227129337539432,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,1967.000000,15,0,22440,0,11408235.89222165734621250635,7625.826131164209456024402644,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
6,5186.000000,12,14,3236,1142,844195.9120709602776706517547,5013.497878904743540300809873,168.3846153846154,270.80550456328456,1094,60,4,22,2,10.0.0.5
17,1674.000000,16,0,24320,0,14528076.46356033452807646356,9557.945041816009557945041816,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1901.000000,17,0,25432,0,13378221.98842714360862703840,8942.661756970015781167806418,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,1917.000000,15,0,22800,0,11893583.72456964006259780908,7824.726134585289514866979656,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1887.000000,15,0,22800,0,12082670.90620031796502384738,7949.125596184419713831478537,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,4023.000000,10,12,3092,1022,1022619.935371613223962217251,5468.555804126273924931643052,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
